,sample_time_started,experiment_sample_ID,duplicate_ID,water_content_requested,concentration_requested,combustion_temp_requested,num_passes_requested,water_content_realized,concentration_realized,combustion_temp_realized,combustion_temp_realized_std,num_passes_realized,Pd_ACN_robot_realized,acac_ACN_robot_realized,ACN_robot_realized,H2O_robot_realized,num_passes_robot_realized,combustion_temp_robot_realized,Pd_ACN_robot_requested,acac_ACN_robot_requested,ACN_robot_requested,H2O_robot_requested,conductance_mean,conductance_std,conductance_mean_nz,conductance_std_nz,conductive_fraction,condxrf_avg,condxrf_std,condxrf_count,thickness_avg,thickness_std,thickness_count,sheet_conductance_avg,sheet_conductance_std,sheet_conductance_count,sheet_resistance_avg,sheet_resistance_std,sheet_resistance_count,conductivity_avg,conductivity_std,conductivity_count,resistivity_avg,resistivity_std,resistivity_count,condxrf_manual,condxrfman_avg,condxrfman_std,thickness_manual,thicknessman_avg,thicknessman_std,sheet_conductance_manual,sheet_conductanceman_avg,sheet_conductanceman_std,sheet_resistance_manual,sheet_resistanceman_avg,sheet_resistanceman_std,conductivity_manual,conductivityman_avg,conductivityman_std,resistivity_manual,resistivityman_avg,resistivityman_std,spray_volume_realized,total_spray_time,spray_flowrate_realized,spray_start_time,spray_finish_time,spraycoater_retrieval_time,vial_finished_mixing_time,draw_from_vial_time,time_on_hotplate,spray_start_to_finish,extra_hotplate_time,vial_evaporation_time
0,2021-11-08 17:26,0,41,0.15,0.015,270.0,2.0,0.1504666481513708,0.0149294247118471,258.492,4.185,2.0,0.1599264705882354,0.0268382352941176,0.1320610687022896,0.0564694082246738,2,270.0,0.1608729227971008,0.0291270772028991,0.133,0.0569999999999999,0.1207403334215991,0.0050494389644462,0.1207403334215991,0.0050494389644462,1.0,7.273417340844007e-07,6.281481335326255e-08,5,13.49582097345797,1.2265888545074537,5,0.0266396159271057,0.0012455860103149,5,37.607920648871904,1.8674486305710327,5,1991258.4626310368,248266.391325847,5,5.084529975800063e-07,6.313607092979408e-08,5,False,7.273417340844007e-07,6.281481335326255e-08,False,13.49582097345797,1.2265888545074537,False,0.0266396159271057,0.0012455860103149,False,37.607920648871904,1.8674486305710327,False,1991258.4626310368,248266.391325847,False,5.084529975800063e-07,6.313607092979408e-08,0.30591,153.361,0.001994705,2021-11-08 17:55,2021-11-08 17:58,2021-11-08 17:59,2021-11-08 17:37,2021-11-08 17:54,248.9999997,200.9999998,47.99999991,1005.0
1,2021-11-08 17:27,1,33,0.15,0.01,210.0,5.0,0.1508080583591248,0.0099324256888625,207.549,8.579,5.0,0.107843137254902,0.0167892156862751,0.1950381679389315,0.0567703109327983,5,210.0,0.1072486151980672,0.0194180514685994,0.1963333333333333,0.0569999999999999,0.0109050861508245,0.0009038357836785,0.0109050861508245,0.0009038357836785,1.0,7.581484702551379e-08,7.728683073583568e-09,5,10.342974305427212,0.4267684652331668,5,0.0024060502276035,0.0002229564939192,5,418.60461616523145,40.39897141664789,5,233164.60340888152,26824.77355037092,5,4.332601441529813e-06,4.783515002640029e-07,5,False,7.581484702551379e-08,7.728683073583568e-09,False,10.342974305427212,0.4267684652331668,False,0.0024060502276035,0.0002229564939192,False,418.60461616523145,40.39897141664789,False,233164.60340888152,26824.77355037092,False,4.332601441529813e-06,4.783515002640029e-07,0.31532,158.411,0.001990518,2021-11-08 18:10,2021-11-08 18:16,2021-11-08 18:17,2021-11-08 17:49,2021-11-08 18:10,380.9999998,328.0,52.99999982,1266.0
2,2021-11-08 17:28,2,67,0.3,0.015,240.0,2.0,0.3020432697322588,0.0149437062180012,244.011,7.264,2.0,0.160171568627451,0.0275735294117652,0.0753180661577604,0.1138415245737208,2,240.0,0.1608729227971008,0.0291270772028991,0.076,0.1139999999999999,0.109712154236342,0.009121596528053,0.109712154236342,0.009121596528053,1.0,6.118150429450079e-07,9.268878075766429e-08,5,15.469834289272637,1.6892650749598055,5,0.0242064069939755,0.0022500981014088,5,41.61541017699478,4.093864542911601,5,1591120.8518813755,311071.65047444985,5,6.479040837695202e-07,1.2530764212551514e-07,5,False,6.118150429450079e-07,9.268878075766429e-08,False,15.469834289272637,1.6892650749598055,False,0.0242064069939755,0.0022500981014088,False,41.61541017699478,4.093864542911601,False,1591120.8518813755,311071.65047444985,False,6.479040837695202e-07,1.2530764212551514e-07,0.30639,153.613,0.001994558,2021-11-08 18:22,2021-11-08 18:25,2021-11-08 18:31,2021-11-08 18:01,2021-11-08 18:21,550.9999999,202.0000001,348.9999999,1167.000001
3,2021-11-08 17:29,3,55,0.3,0.01,240.0,1.0,0.3024978364571433,0.0100262746990615,227.817,4.338,1.0,0.1073529411764701,0.0176470588235291,0.1358778625954201,0.1131394182547643,1,240.0,0.1072486151980672,0.0194180514685994,0.1393333333333333,0.1139999999999999,0.0311438217096373,0.0029057133829698,0.0311438217096373,0.0029057133829698,1.0,2.09615531908462e-07,3.3498239601382666e-08,5,11.138932849650471,1.2623470775641,5,0.0068714357939529,0.0007167758567429,5,146.87688131345038,16.187850726054815,5,629022.4687286639,137467.781332358,5,1.6487263196927665e-06,3.431994992225618e-07,5,False,2.09615531908462e-07,3.3498239601382666e-08,False,11.138932849650471,1.2623470775641,False,0.0068714357939529,0.0007167758567429,False,146.87688131345038,16.187850726054815,False,629022.4687286639,137467.781332358,False,1.6487263196927665e-06,3.431994992225618e-07,0.3025,151.515,0.001996502,2021-11-08 18:38,2021-11-08 18:40,2021-11-08 18:44,2021-11-08 18:17,2021-11-08 18:37,398.0,159.0000001,238.9999999,1241.0
4,2021-11-08 18:24,4,15,0.0,0.015,210.0,5.0,0.0,0.0148985996742038,207.64,8.438,5.0,0.1582107843137252,0.0283088235294116,0.189058524173028,0.0,5,210.0,0.1608729227971008,0.0291270772028991,0.19,0.0,0.0228784254096272,0.0028366747658606,0.0228784254096272,0.0028366747658606,1.0,1.434445545659768e-07,2.5119542494874283e-08,5,12.648289248655882,1.1754547198150795,5,0.0050477951208007,0.0006997455418409,5,201.72898647909,32.76953640855591,5,404790.9086992155,84956.43803686855,5,2.5711185475200345e-06,6.084798576338894e-07,5,False,1.434445545659768e-07,2.5119542494874283e-08,False,12.648289248655882,1.1754547198150795,False,0.0050477951208007,0.0006997455418409,False,201.72898647909,32.76953640855591,False,404790.9086992155,84956.43803686855,False,2.5711185475200345e-06,6.084798576338894e-07,0.31624,158.882,0.001990408,2021-11-08 18:58,2021-11-08 19:03,2021-11-08 19:05,2021-11-08 18:32,2021-11-08 18:57,423.9999998,329.9999998,93.99999997,1545.0
5,2021-11-08 18:39,5,28,0.15,0.01,240.0,1.0,0.1492686588261677,0.0100742407391246,240.554,4.482,1.0,0.1085784313725495,0.0193627450980392,0.1961832061068706,0.0568706118355067,1,240.0,0.1072486151980672,0.0194180514685994,0.1963333333333333,0.0569999999999999,0.0739094692488016,0.0081233014816581,0.0739094692488016,0.0081233014816581,1.0,5.194363056438824e-07,8.098811152588316e-08,5,10.199435181461135,0.7956703038784946,5,0.0163070601046732,0.0020038405760259,5,62.14337637883856,8.368093539026919,5,1617192.2120161855,310777.48041114834,5,6.379379721390732e-07,1.2884046300195817e-07,5,False,5.194363056438824e-07,8.098811152588316e-08,False,10.199435181461135,0.7956703038784946,False,0.0163070601046732,0.0020038405760259,False,62.14337637883856,8.368093539026919,False,1617192.2120161855,310777.48041114834,False,6.379379721390732e-07,1.2884046300195817e-07,0.30281,151.675,0.00199644,2021-11-08 19:12,2021-11-08 19:15,2021-11-08 19:19,2021-11-08 18:49,2021-11-08 19:12,379.0,159.0000001,219.9999999,1381.0
6,2021-11-08 18:55,6,20,0.0,0.02,270.0,1.0,0.0,0.0200338429338201,266.548,5.406,1.0,0.2123774509803919,0.0377450980392153,0.1244274809160304,0.0,1,270.0,0.2144972303961344,0.0388361029371988,0.1266666666666667,0.0,0.1944799235381978,0.0221346909738081,0.1944799235381978,0.0221346909738081,1.0,1.246363924770625e-06,1.9265154114404978e-07,5,12.1067085661282,0.7137726225047314,5,0.042909194647492,0.0054601435156951,5,23.637632739711844,3.279509274695416,5,3571990.1339846626,639811.8999241121,5,2.875784442370768e-07,5.3683181797640464e-08,5,False,1.246363924770625e-06,1.9265154114404978e-07,False,12.1067085661282,0.7137726225047314,False,0.042909194647492,0.0054601435156951,False,23.637632739711844,3.279509274695416,False,3571990.1339846626,639811.8999241121,False,2.875784442370768e-07,5.3683181797640464e-08,0.30248,151.514,0.001996383,2021-11-08 19:30,2021-11-08 19:33,2021-11-08 19:34,2021-11-08 19:06,2021-11-08 19:29,211.0000003,159.0000001,52.00000021,1432.0
7,2021-11-08 19:11,7,46,0.15,0.02,240.0,1.0,0.1500494870275409,0.0200426160105784,229.448,4.281,1.0,0.2128676470588237,0.0381127450980391,0.0683206106870235,0.0563691073219659,1,240.0,0.2144972303961344,0.0388361029371988,0.0696666666666667,0.0569999999999999,0.2094745808908138,0.0124674465950613,0.2094745808908138,0.0124674465950613,1.0,1.0281879915773255e-06,1.2293727776852393e-07,5,18.880546860197533,2.331372866664473,5,0.0462175498715698,0.0030754460391541,5,21.718185989408266,1.530618529455616,5,2485247.6281865924,399225.392503326,5,4.109977962664114e-07,6.75882258632806e-08,5,False,1.0281879915773255e-06,1.2293727776852393e-07,False,18.880546860197533,2.331372866664473,False,0.0462175498715698,0.0030754460391541,False,21.718185989408266,1.530618529455616,False,2485247.6281865924,399225.392503326,False,4.109977962664114e-07,6.75882258632806e-08,0.30281,151.689,0.001996255,2021-11-08 19:44,2021-11-08 19:46,2021-11-08 19:47,2021-11-08 19:21,2021-11-08 19:43,221.0000001,159.0000001,62.00000003,1294.0
8,2021-11-08 19:28,8,71,0.3,0.015,270.0,5.0,0.3009113474380411,0.0151915214476096,266.073,5.116,5.0,0.1606617647058823,0.0299019607843137,0.0725190839694655,0.1132397191574726,5,270.0,0.1608729227971008,0.0291270772028991,0.076,0.1139999999999999,0.1923770301824426,0.0204586126264172,0.1923770301824426,0.0204586126264172,1.0,1.100116556821672e-06,1.708348321253647e-07,5,14.783967045379184,1.1489871622206358,5,0.042445221509888,0.0050466916933438,5,23.86764742698949,3.2437593050197155,5,2901899.787871101,531358.6263889443,5,3.550340121833064e-07,7.20782321064283e-08,5,False,1.100116556821672e-06,1.708348321253647e-07,False,14.783967045379184,1.1489871622206358,False,0.042445221509888,0.0050466916933438,False,23.86764742698949,3.2437593050197155,False,2901899.787871101,531358.6263889443,False,3.550340121833064e-07,7.20782321064283e-08,0.31563,158.45,0.001991985,2021-11-08 20:01,2021-11-08 20:06,2021-11-08 20:08,2021-11-08 19:38,2021-11-08 20:00,441.0,329.0000002,111.9999998,1311.0
9,2021-11-08 19:44,9,4,0.0,0.01,240.0,2.0,0.0,0.0102718243596445,237.292,5.457,2.0,0.1069852941176464,0.02046568627451,0.2447837150127222,0.0,2,240.0,0.1072486151980672,0.0194180514685994,0.2533333333333333,0.0,0.049802304208395,0.0070269955270567,0.049802304208395,0.0070269955270567,1.0,3.686265070200107e-07,7.237501475071301e-08,5,9.236891526781257,1.0073992910723588,5,0.0109881612780041,0.0017334059060177,5,93.14755053158524,17.043652231026325,5,1213778.6804053318,303999.1203958679,5,8.686773968073802e-07,2.2869266249663825e-07,5,False,3.686265070200107e-07,7.237501475071301e-08,False,9.236891526781257,1.0073992910723588,False,0.0109881612780041,0.0017334059060177,False,93.14755053158524,17.043652231026325,False,1213778.6804053318,303999.1203958679,False,8.686773968073802e-07,2.2869266249663825e-07,0.30592,153.361,0.001994771,2021-11-08 20:14,2021-11-08 20:17,2021-11-08 20:22,2021-11-08 19:51,2021-11-08 20:13,465.9999995,200.9999998,264.9999997,1331.000001
